win,lose,probability
Charlotte Hornets,Chicago Bulls,0.67900064221791323
Denver Nuggets,Los Angeles Lakers,0.73869387154694877
Memphis Grizzlies,Milwaukee Bucks,0.6409045231241568
Washington Wizards,Minnesota Timberwolves,0.58443687664086097
Sacramento Kings,Orlando Magic,0.50148623650702351
San Antonio Spurs,Atlanta Hawks,0.83837504001383234
Toronto Raptors,Dallas Mavericks,0.7650020773601347
Los Angeles Clippers,Utah Jazz,0.58327773169716202
Oklahoma City Thunder,Brooklyn Nets,0.91564812085490077
Cleveland Cavaliers,Detroit Pistons,0.84279952706545747
Golden State Warriors,Philadelphia 76ers,0.98468670642253531
Portland Trail Blazers,New Orleans Pelicans,0.68140199609948815
Indiana Pacers,New York Knicks,0.6992698264649515
Boston Celtics,Minnesota Timberwolves,0.81165171089896604
Chicago Bulls,Memphis Grizzlies,0.58669401381184405
Detroit Pistons,Utah Jazz,0.58216239156872085
Houston Rockets,Los Angeles Lakers,0.84694007477618516
Indiana Pacers,Charlotte Hornets,0.55163167133817981
Los Angeles Clippers,Milwaukee Bucks,0.84793882893309769
Miami Heat,New Orleans Pelicans,0.80596815901039365
Sacramento Kings,Phoenix Suns,0.64867898570832949
San Antonio Spurs,Portland Trail Blazers,0.87138354711575483
Washington Wizards,Dallas Mavericks,0.54805021506385199
Atlanta Hawks,Memphis Grizzlies,0.76414976240235921
Cleveland Cavaliers,Utah Jazz,0.84177107645916982
Los Angeles Clippers,Denver Nuggets,0.72319605802938447
Golden State Warriors,Orlando Magic,0.93566473973319497
New York Knicks,Brooklyn Nets,0.66492744590604724
Toronto Raptors,Oklahoma City Thunder,0.54261945042036175
Boston Celtics,Brooklyn Nets,0.85438988041641872
Toronto Raptors,Detroit Pistons,0.59939820439785485
Milwaukee Bucks,Los Angeles Lakers,0.7008159856028422
Miami Heat,Minnesota Timberwolves,0.80501537090615405
Houston Rockets,New Orleans Pelicans,0.65579492423475727
Dallas Mavericks,Philadelphia 76ers,0.88628782613014812
Orlando Magic,Phoenix Suns,0.67186917897632403
Washington Wizards,Chicago Bulls,0.54807476834149671
Atlanta Hawks,Portland Trail Blazers,0.66315171135647111
Utah Jazz,Chicago Bulls,0.51634574560073143
Charlotte Hornets,Washington Wizards,0.69264440849871722
Houston Rockets,Denver Nuggets,0.58606352017343366
Golden State Warriors,Milwaukee Bucks,0.95385116447073026
Cleveland Cavaliers,Los Angeles Clippers,0.5445699977385241
San Antonio Spurs,Memphis Grizzlies,0.82861649644801227
Oklahoma City Thunder,Sacramento Kings,0.88960558762275332
Dallas Mavericks,Brooklyn Nets,0.79822312743631252
Detroit Pistons,Phoenix Suns,0.81148718196518066
Cleveland Cavaliers,Los Angeles Lakers,0.93982669099976179
Miami Heat,Portland Trail Blazers,0.6418146670150876
New Orleans Pelicans,Minnesota Timberwolves,0.51860872592126073
Boston Celtics,Philadelphia 76ers,0.92038581090818239
San Antonio Spurs,Sacramento Kings,0.92553390770005139
Toronto Raptors,Indiana Pacers,0.73290761627472578
Boston Celtics,Washington Wizards,0.686202750360564
Charlotte Hornets,Atlanta Hawks,0.59606883120776499
Houston Rockets,Denver Nuggets,0.72623064124836556
Indiana Pacers,Utah Jazz,0.63307228108050373
Los Angeles Clippers,New York Knicks,0.82492239159174319
Golden State Warriors,Oklahoma City Thunder,0.52452309997366497
Orlando Magic,Philadelphia 76ers,0.83446019165747809
Detroit Pistons,Brooklyn Nets,0.79865692108068065
Golden State Warriors,Dallas Mavericks,0.82269084262927228
Los Angeles Clippers,Los Angeles Lakers,0.90052595410529734
Miami Heat,Phoenix Suns,0.85738876894195426
San Antonio Spurs,Minnesota Timberwolves,0.85786227328038367
Memphis Grizzlies,New Orleans Pelicans,0.56513442630142385
Portland Trail Blazers,Milwaukee Bucks,0.87075514192941128
Toronto Raptors,Chicago Bulls,0.76501989771039858
Boston Celtics,Indiana Pacers,0.63369969462131792
Detroit Pistons,Chicago Bulls,0.51441207826684021
Cleveland Cavaliers,Denver Nuggets,0.81843128700365098
Oklahoma City Thunder,Philadelphia 76ers,0.96981493025941223
Charlotte Hornets,Orlando Magic,0.65201887955396509
Sacramento Kings,Milwaukee Bucks,0.58841853226449647
Utah Jazz,New York Knicks,0.69997662445473019
Atlanta Hawks,Washington Wizards,0.54169701421227745
Phoenix Suns,Brooklyn Nets,0.56405044287209416
Los Angeles Clippers,Dallas Mavericks,0.61149924327589367
Toronto Raptors,Miami Heat,0.51721610379413785
Portland Trail Blazers,New York Knicks,0.85058369710930049
San Antonio Spurs,Memphis Grizzlies,0.9176957471843179
Boston Celtics,Phoenix Suns,0.86254693127568638
Chicago Bulls,Philadelphia 76ers,0.86317776413482372
Cleveland Cavaliers,Charlotte Hornets,0.59538099282760348
Golden State Warriors,Sacramento Kings,0.94161640640751154
Houston Rockets,New Orleans Pelicans,0.74059337930948588
Indiana Pacers,Denver Nuggets,0.77386149322209008
Minnesota Timberwolves,Los Angeles Lakers,0.70502594116668016
Atlanta Hawks,Milwaukee Bucks,0.7089174604395273
Detroit Pistons,Orlando Magic,0.57004360621335382
Washington Wizards,Brooklyn Nets,0.82506866906212706
Cleveland Cavaliers,Washington Wizards,0.85136284613696789
Toronto Raptors,Dallas Mavericks,0.64764781472863753
Los Angeles Clippers,Utah Jazz,0.72033975006679052
Portland Trail Blazers,Minnesota Timberwolves,0.86846924100301814
San Antonio Spurs,New York Knicks,0.93083802621044176
Atlanta Hawks,Brooklyn Nets,0.89364823101459112
Boston Celtics,Miami Heat,0.5823640459597389
Charlotte Hornets,Phoenix Suns,0.86607509065571531
Denver Nuggets,New Orleans Pelicans,0.59325683321153544
Golden State Warriors,Memphis Grizzlies,0.93535281886081134
Oklahoma City Thunder,Houston Rockets,0.6700067861091672
Indiana Pacers,Philadelphia 76ers,0.92076335181904689
Los Angeles Clippers,Sacramento Kings,0.81312619334663561
Portland Trail Blazers,Los Angeles Lakers,0.8463217901466068
Chicago Bulls,Milwaukee Bucks,0.62949732601148023
Oklahoma City Thunder,Dallas Mavericks,0.70538470705683154
Detroit Pistons,New York Knicks,0.66276532580738401
Sacramento Kings,Memphis Grizzlies,0.50019372235996684
San Antonio Spurs,Cleveland Cavaliers,0.7049162255240462
Toronto Raptors,Orlando Magic,0.83072243463911555
Utah Jazz,New Orleans Pelicans,0.73136771331271622
Atlanta Hawks,Phoenix Suns,0.86851491032054828
Brooklyn Nets,Philadelphia 76ers,0.62754081479393964
Charlotte Hornets,Milwaukee Bucks,0.81921298046512303
Miami Heat,Detroit Pistons,0.51110287514325037
Golden State Warriors,Houston Rockets,0.79735243548607859
Indiana Pacers,Minnesota Timberwolves,0.78543705765519822
Washington Wizards,Los Angeles Lakers,0.82487033892677786
Portland Trail Blazers,Denver Nuggets,0.86057806333995668
Boston Celtics,Milwaukee Bucks,0.81471438717850631
Los Angeles Clippers,Washington Wizards,0.73497504606170638
Indiana Pacers,Memphis Grizzlies,0.58747218284361924
Dallas Mavericks,New Orleans Pelicans,0.6609007137584193
Miami Heat,New York Knicks,0.74258720255830113
Oklahoma City Thunder,Orlando Magic,0.78393434748708557
Atlanta Hawks,Philadelphia 76ers,0.91783916574524693
Utah Jazz,Sacramento Kings,0.60227338734365321
San Antonio Spurs,Golden State Warriors,0.58300876807877178
Toronto Raptors,Charlotte Hornets,0.69671641403766571
Cleveland Cavaliers,Chicago Bulls,0.76679618957987994
Detroit Pistons,Brooklyn Nets,0.84558322742376801
Minnesota Timberwolves,Los Angeles Lakers,0.73207286029734986
Los Angeles Clippers,Phoenix Suns,0.84774981221058043
Portland Trail Blazers,Houston Rockets,0.76285779249992169
Boston Celtics,Orlando Magic,0.75573785983681674
Charlotte Hornets,Denver Nuggets,0.80588211500494367
Cleveland Cavaliers,Philadelphia 76ers,0.97284885830915091
Golden State Warriors,Houston Rockets,0.90799496051190498
Dallas Mavericks,Memphis Grizzlies,0.54553558875405628
Miami Heat,New York Knicks,0.78068036782747474
Detroit Pistons,Milwaukee Bucks,0.63014887858631274
Sacramento Kings,New Orleans Pelicans,0.53828563802449669
Oklahoma City Thunder,San Antonio Spurs,0.54479102207789498
Toronto Raptors,Indiana Pacers,0.73290761627472578
Utah Jazz,Washington Wizards,0.57862688383836214
Orlando Magic,Brooklyn Nets,0.7240761384937866
Atlanta Hawks,Chicago Bulls,0.60227203561822096
Los Angeles Clippers,Los Angeles Lakers,0.9142126610268152
Minnesota Timberwolves,Sacramento Kings,0.52732922105023228
Portland Trail Blazers,Phoenix Suns,0.90579331328252233
Atlanta Hawks,Brooklyn Nets,0.85007607326683887
Cleveland Cavaliers,Indiana Pacers,0.8192131946503115
Golden State Warriors,Washington Wizards,0.91134126436232932
Memphis Grizzlies,Los Angeles Lakers,0.76991709678274611
Miami Heat,Denver Nuggets,0.79421931695944592
Dallas Mavericks,Milwaukee Bucks,0.62952044563023324
Chicago Bulls,New Orleans Pelicans,0.66087849749427496
Boston Celtics,New York Knicks,0.74405945104585725
Oklahoma City Thunder,Charlotte Hornets,0.77281222204180655
Houston Rockets,Phoenix Suns,0.7510845922799616
San Antonio Spurs,Utah Jazz,0.88034714397607061
Toronto Raptors,Philadelphia 76ers,0.95594277926302473
Cleveland Cavaliers,Orlando Magic,0.89015807770505129
Golden State Warriors,Minnesota Timberwolves,0.95295554592692244
Toronto Raptors,Indiana Pacers,0.54715819051560399
New Orleans Pelicans,Denver Nuggets,0.5017693284447402
Chicago Bulls,New York Knicks,0.6621404251791192
Oklahoma City Thunder,Milwaukee Bucks,0.91171776231049895
Brooklyn Nets,Philadelphia 76ers,0.66709915602829772
Dallas Mavericks,Sacramento Kings,0.59977054106842209
San Antonio Spurs,Memphis Grizzlies,0.9176957471843179
Utah Jazz,Portland Trail Blazers,0.54011359301760165
Charlotte Hornets,Washington Wizards,0.53887037657294889
Cleveland Cavaliers,Boston Celtics,0.60260734138859295
Charlotte Hornets,Miami Heat,0.58966264836481341
Toronto Raptors,Detroit Pistons,0.59939820439785485
Houston Rockets,Denver Nuggets,0.72623064124836556
Los Angeles Clippers,Dallas Mavericks,0.72243754242434732
Oklahoma City Thunder,Memphis Grizzlies,0.76710890199567616
Golden State Warriors,Phoenix Suns,0.94257455067339302
San Antonio Spurs,Los Angeles Lakers,0.96819364216183224
Atlanta Hawks,Boston Celtics,0.5929208914937748
Indiana Pacers,Milwaukee Bucks,0.78881509118923998
Washington Wizards,New York Knicks,0.64783104071628839
Orlando Magic,Brooklyn Nets,0.74629403550064499
Chicago Bulls,Philadelphia 76ers,0.88627783535043259
Portland Trail Blazers,Minnesota Timberwolves,0.86846924100301814
Cleveland Cavaliers,Atlanta Hawks,0.78950272109097441
San Antonio Spurs,Dallas Mavericks,0.77848661553887322
Denver Nuggets,New Orleans Pelicans,0.59325683321153544
Houston Rockets,Detroit Pistons,0.57407533641118735
Sacramento Kings,Los Angeles Lakers,0.75012131202846011
Memphis Grizzlies,New York Knicks,0.60128604938993235
Oklahoma City Thunder,Phoenix Suns,0.89440189014014726
Toronto Raptors,Miami Heat,0.68864432575723367
Utah Jazz,Minnesota Timberwolves,0.73017124257206301
Chicago Bulls,Brooklyn Nets,0.7982071609431618
Charlotte Hornets,Boston Celtics,0.58779428660134114
Golden State Warriors,New Orleans Pelicans,0.95322742953764039
Indiana Pacers,Orlando Magic,0.61068925815305497
Milwaukee Bucks,Philadelphia 76ers,0.78438924581810576
Portland Trail Blazers,Utah Jazz,0.75681087798032864
San Antonio Spurs,Los Angeles Clippers,0.80474264190097078
Miami Heat,Washington Wizards,0.54827837454267636
Cleveland Cavaliers,Atlanta Hawks,0.59026395980607516
Oklahoma City Thunder,Denver Nuggets,0.79896292796915502
Minnesota Timberwolves,Los Angeles Lakers,0.70502594116668016
Detroit Pistons,Memphis Grizzlies,0.54620378822322435
Toronto Raptors,New York Knicks,0.80502449143738808
Dallas Mavericks,Phoenix Suns,0.75530430765527878
Houston Rockets,Sacramento Kings,0.59430932228027444
Boston Celtics,Brooklyn Nets,0.888674805316919
Chicago Bulls,Orlando Magic,0.58794711036763203
Detroit Pistons,Washington Wizards,0.6000135650608821
Golden State Warriors,Utah Jazz,0.90518895533675425
Los Angeles Clippers,Houston Rockets,0.72696635609736582
Cleveland Cavaliers,Miami Heat,0.61281934234300817
Charlotte Hornets,Milwaukee Bucks,0.70656349278540853
Indiana Pacers,Philadelphia 76ers,0.90240596482526436
San Antonio Spurs,Portland Trail Blazers,0.56155954086350912
Atlanta Hawks,Charlotte Hornets,0.60388783434212556
Dallas Mavericks,Denver Nuggets,0.6922638657230672
New Orleans Pelicans,Los Angeles Lakers,0.70375966816485092
Oklahoma City Thunder,Minnesota Timberwolves,0.80437267028737958
Sacramento Kings,Phoenix Suns,0.67108565346149129
Boston Celtics,Milwaukee Bucks,0.81471438717850631
Chicago Bulls,Brooklyn Nets,0.78639126748370702
Cleveland Cavaliers,Toronto Raptors,0.71846301482289898
Golden State Warriors,Los Angeles Lakers,0.97530867603847027
Houston Rockets,Minnesota Timberwolves,0.7394233590779411
Indiana Pacers,Atlanta Hawks,0.5488152718473901
Los Angeles Clippers,Sacramento Kings,0.81312619334663561
Dallas Mavericks,Memphis Grizzlies,0.54553558875405628
Miami Heat,Washington Wizards,0.67690580778651721
New York Knicks,Philadelphia 76ers,0.77275977038722998
Oklahoma City Thunder,Denver Nuggets,0.90441210524588955
Detroit Pistons,Orlando Magic,0.57004360621335382
Portland Trail Blazers,New Orleans Pelicans,0.86916235760323768
San Antonio Spurs,Utah Jazz,0.75758666303431899
